"Price","Deg3","Deg4","Deg5","Deg6"
0.0,1.1917714572145106,1.0845721634029581,1.0919253135831004,0.7124730169279273
0.10526315789473684,1.2084236467628116,1.1230805210932033,1.1219625152683257,0.9838225191859696
0.21052631578947367,1.2162127196490273,1.1543018068949717,1.1543491934634458,1.1116087383274975
0.3157894736842105,1.2184834268317801,1.1799846952320545,1.1861161700816614,1.1581487428307167
0.42105263157894735,1.2185805192696921,1.202118924087189,1.2157148940359315,1.1672622467123928
0.5263157894736842,1.2198487479213846,1.2229352950020627,1.2428901194143247,1.167912927220173
0.631578947368421,1.225632863745481,1.2449056730773098,1.268552583655368,1.1775106653107914
0.7368421052631579,1.2392776177006024,1.2707429869725138,1.2946516857233945,1.2048747089141478
0.8421052631578947,1.264127760745371,1.303401228906206,1.3240481642838955,1.2528577589832381
0.9473684210526315,1.3035280438384091,1.346075454655866,1.360386775878866,1.3206309783299832
1.0526315789473684,1.360823217938339,1.4022017835579217,1.4079689731021565,1.4056299232469192
1.1578947368421053,1.4393580340037828,1.47545739850775,1.471625582774821,1.5051613979147562
1.263157894736842,1.5424772429933618,1.5697605459596744,1.5565894841204688,1.6176712315957893
1.368421052631579,1.6735255958656992,1.689270535926968,1.6683682869406078,1.7436729786132608
1.4736842105263157,1.8358478435794163,1.838387741981852,1.8126170097900012,1.886337541116486
1.5789473684210527,2.0327887370931355,2.0217536012554964,1.995010758152011,2.051743714631878
1.6842105263157894,2.2676930273654787,2.244250614438017,2.2211174026139466,2.2487896563999934
1.7894736842105263,2.543905465355069,2.5110023457784814,2.496270257042422,2.488765276498123
1.894736842105263,2.864770802020526,2.827373423084903,2.825440756758698,2.7845855517492097
2.0,3.233633788320475,3.198969537724244,3.2131111367140277,3.149684762416129
